race_id,round,circuit_id,constructor_id,team_points,dnf_count,track_type,grid_best,grid_mean,hist_circuit_points,form_last3,form_todate,dnf_rate_todate
2,2,shanghai,alpine,9.0,0,tecnica,7,9.5,3.0,1.0,1.0,0.0
2,2,shanghai,aston_martin,0.0,2,tecnica,19,20.0,2.0833333333333335,0.0,0.0,1.0
2,2,shanghai,audi,0.0,1,tecnica,11,13.5,0.16666666666666666,2.0,2.0,1.0
2,2,shanghai,cadillac,0.0,0,tecnica,20,21.0,9.25,0.0,0.0,1.0
2,2,shanghai,ferrari,27.0,0,tecnica,3,3.5,8.166666666666666,27.0,27.0,0.0
2,2,shanghai,haas,10.0,0,tecnica,10,11.5,4.5,6.0,6.0,0.0
2,2,shanghai,mclaren,0.0,2,tecnica,5,5.5,13.25,10.0,10.0,1.0
2,2,shanghai,mercedes,43.0,0,tecnica,1,1.5,7.833333333333334,43.0,43.0,0.0
2,2,shanghai,rb,6.0,0,tecnica,14,14.5,0.0,4.0,4.0,0.0
2,2,shanghai,red_bull,4.0,1,tecnica,8,8.5,8.166666666666666,8.0,8.0,1.0
2,2,shanghai,williams,2.0,1,tecnica,17,17.5,3.0,0.0,0.0,0.0
3,3,suzuka,alpine,6.0,0,tecnica,7,11.0,1.4,5.0,5.0,0.0
3,3,suzuka,aston_martin,0.0,1,tecnica,21,21.5,2.45,0.0,0.0,1.5
3,3,suzuka,audi,0.0,0,tecnica,9,11.0,0.0,1.0,1.0,1.0
3,3,suzuka,cadillac,0.0,0,tecnica,19,19.5,8.125,0.0,0.0,0.5
3,3,suzuka,ferrari,23.0,0,tecnica,4,5.0,10.3,27.0,27.0,0.0
3,3,suzuka,haas,1.0,1,tecnica,12,15.0,2.25,8.0,8.0,0.0
3,3,suzuka,mclaren,28.0,0,tecnica,3,4.0,10.366666666666667,5.0,5.0,1.5
3,3,suzuka,mercedes,37.0,0,tecnica,1,1.5,6.6,43.0,43.0,0.0
3,3,suzuka,rb,2.0,0,tecnica,10,12.0,0.0,5.0,5.0,0.0
3,3,suzuka,red_bull,4.0,0,tecnica,8,9.5,12.2,6.0,6.0,1.0
3,3,suzuka,williams,0.0,0,tecnica,16,16.5,4.699999999999999,1.0,1.0,0.5
4,4,miami,alpine,6.0,1,rua,8,8.5,1.0,5.333333333333333,5.333333333333333,0.0
4,4,miami,aston_martin,0.0,0,rua,17,17.5,2.25,0.0,0.0,1.3333333333333333
4,4,miami,audi,0.0,1,rua,10,15.5,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,4,miami,cadillac,0.0,0,rua,19,19.5,8.0,0.0,0.0,0.3333333333333333
4,4,miami,ferrari,12.0,0,rua,3,4.5,9.125,25.666666666666668,25.666666666666668,0.0
4,4,miami,haas,0.0,0,rua,12,13.0,0.875,5.666666666666667,5.666666666666667,0.3333333333333333
4,4,miami,mclaren,33.0,0,rua,4,5.5,9.541666666666668,12.666666666666666,12.666666666666666,1.0
4,4,miami,mercedes,37.0,0,rua,1,3.0,9.125,41.0,41.0,0.0
4,4,miami,rb,0.0,1,rua,11,13.5,0.0,4.0,4.0,0.0
4,4,miami,red_bull,10.0,1,rua,2,12.0,10.25,5.333333333333333,5.333333333333333,0.6666666666666666
4,4,miami,williams,3.0,0,rua,13,14.0,6.125,0.6666666666666666,0.6666666666666666,0.3333333333333333
5,5,villeneuve,alpine,12.0,0,rua,10,12.0,0.6,7.0,5.5,0.25
5,5,villeneuve,aston_martin,0.0,1,rua,19,20.0,5.35,0.0,0.0,1.0
5,5,villeneuve,audi,0.0,0,rua,11,12.0,1.25,0.0,0.5,0.75
5,5,villeneuve,cadillac,0.0,1,rua,20,21.0,3.625,0.0,0.0,0.25
5,5,villeneuve,ferrari,30.0,0,rua,5,6.5,12.3,20.666666666666668,22.25,0.0
5,5,villeneuve,haas,1.0,0,rua,16,16.5,1.875,3.6666666666666665,4.25,0.25
5,5,villeneuve,mclaren,0.0,1,rua,3,3.5,5.466666666666667,20.333333333333332,17.75,0.75
5,5,villeneuve,mercedes,25.0,1,rua,1,1.5,12.7,39.0,40.0,0.0
5,5,villeneuve,rb,6.0,1,rua,9,10.5,0.0,2.6666666666666665,3.0,0.25
5,5,villeneuve,red_bull,25.0,0,rua,6,6.5,10.3,6.0,6.5,0.75
5,5,villeneuve,williams,2.0,1,rua,15,16.5,3.6,1.6666666666666667,1.25,0.25
7,6,monaco,alpine,15.0,0,rua,9,11.5,2.1666666666666665,8.0,6.8,0.2
7,6,monaco,aston_martin,1.0,1,rua,21,21.5,2.7333333333333334,0.0,0.0,1.0
7,6,monaco,audi,0.0,0,rua,13,14.5,0.0,0.0,0.4,0.6
7,6,monaco,cadillac,0.0,1,rua,18,19.0,5.4,0.0,0.0,0.4
7,6,monaco,ferrari,18.0,1,rua,3,3.5,10.75,21.666666666666668,23.8,0.0
7,6,monaco,haas,2.0,1,rua,17,18.0,2.3,0.6666666666666666,3.6,0.2
7,6,monaco,mclaren,10.0,1,rua,7,7.5,10.916666666666668,20.333333333333332,14.2,0.8
7,6,monaco,mercedes,25.0,0,rua,1,3.5,2.5,33.0,37.0,0.2
7,6,monaco,rb,14.0,0,rua,10,12.5,4.0,2.6666666666666665,3.6,0.4
7,6,monaco,red_bull,12.0,1,rua,2,3.5,12.083333333333334,13.0,10.2,0.6
7,6,monaco,williams,4.0,1,rua,11,11.5,6.133333333333333,1.6666666666666667,1.4,0.4
8,7,catalunya,alpine,7.0,0,mista,13,13.5,1.2857142857142858,11.0,8.166666666666666,0.16666666666666666
8,7,catalunya,aston_martin,0.0,2,mista,21,21.5,2.666666666666667,0.3333333333333333,0.16666666666666666,1.0
8,7,catalunya,audi,0.0,1,mista,9,10.5,1.25,0.0,0.3333333333333333,0.5
8,7,catalunya,cadillac,0.0,1,mista,19,19.5,9.333333333333332,0.0,0.0,0.5
8,7,catalunya,ferrari,25.0,1,mista,2,6.0,12.428571428571429,20.0,22.833333333333332,0.16666666666666666
8,7,catalunya,haas,0.0,1,mista,15,16.0,1.0833333333333333,1.0,3.3333333333333335,0.3333333333333333
8,7,catalunya,mclaren,25.0,0,mista,4,5.5,8.452380952380953,14.333333333333334,13.5,0.8333333333333334
8,7,catalunya,mercedes,18.0,1,mista,1,2.0,3.857142857142857,29.0,35.0,0.16666666666666666
8,7,catalunya,rb,6.0,0,mista,8,9.5,0.0,6.666666666666667,5.333333333333333,0.3333333333333333
8,7,catalunya,red_bull,20.0,0,mista,5,5.5,12.214285714285714,15.666666666666666,10.5,0.6666666666666666
8,7,catalunya,williams,0.0,0,mista,16,17.0,3.761904761904762,3.0,1.8333333333333333,0.5
9,8,red_bull_ring,alpine,0.0,0,alta_velocidade,11,13.5,0.888888888888889,11.333333333333334,8.0,0.14285714285714285
9,8,red_bull_ring,aston_martin,0.0,1,alta_velocidade,21,21.5,2.3333333333333335,0.3333333333333333,0.14285714285714285,1.1428571428571428
9,8,red_bull_ring,audi,0.0,0,alta_velocidade,12,13.0,3.25,0.0,0.2857142857142857,0.5714285714285714
9,8,red_bull_ring,cadillac,0.0,2,alta_velocidade,19,19.5,9.25,0.0,0.0,0.5714285714285714
9,8,red_bull_ring,ferrari,14.0,0,alta_velocidade,2,2.5,12.5,24.333333333333332,23.142857142857142,0.2857142857142857
9,8,red_bull_ring,haas,0.0,0,alta_velocidade,13,14.0,0.9375,1.0,2.857142857142857,0.42857142857142855
